geo;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
BE;1,32;1,31;1,29;1,28;1,32;1,30;1,37;1,47;1,46;1,44
BG;0,81;0,81;0,78;0,72;0,70;0,64;0,86;0,95;0,61;0,65
CZ;0,83;0,90;0,90;0,86;1,18;1,03;0,93;1,01;0,96;1,16
DK;2,70;2,50;2,51;2,38;2,26;2,28;2,17;2,42;2,41;2,44
DE;1,16;1,20;1,17;1,15;1,11;1,14;1,22;1,34;1,38;1,40
EE;1,08;1,02;0,86;0,92;0,90;1,04;1,12;1,33;1,23;1,29
IE;1,18;1,08;1,09;1,10;1,13;1,15;1,32;1,53;1,42;1,34
GR;1,16;1,10;1,33;1,48;:;:;:;:;:;:
ES;0,97;0,99;0,97;0,95;0,95;0,99;1,07;1,15;1,17;1,13
FR;1,22;1,23;1,21;1,20;1,20;1,23;1,25;1,34;1,33;1,29
HR;0,59;0,73;0,70;0,75;0,86;0,80;0,95;0,83;0,79;0,93
IT;0,85;0,78;0,77;0,76;0,77;0,75;0,84;0,86;0,84;0,83
CY;1,39;1,57;1,49;1,59;1,65;1,62;1,86;2,06;2,12;2,11
LV;0,98;0,77;0,69;0,89;0,92;0,94;0,99;0,78;0,79;1,01
LT;1,39;0,99;1,06;1,02;0,99;1,01;1,03;1,14;1,26;1,47
HU;1,23;1,22;1,02;1,03;1,04;1,04;1,02;1,13;0,98;1,10
MT;0,87;0,78;0,51;1,03;0,97;0,93;1,01;1,16;1,54;1,11
NL;1,36;1,45;1,47;1,49;1,52;1,46;1,53;1,63;1,68;1,72
AT;1,28;1,30;1,43;1,48;1,47;1,48;1,49;1,57;1,64;1,56
PL;1,05;1,02;1,15;1,19;0,96;0,93;1,04;1,07;1,18;1,13
PT;0,92;0,97;0,80;0,95;0,97;1,16;0,95;1,07;1,13;1,04
RO;0,70;0,68;0,70;0,81;:;1,12;:;1,20;1,00;0,85
SI;1,27;1,29;1,30;1,25;1,23;1,21;1,21;1,38;1,37;1,37
SK;0,87;0,85;0,98;0,81;0,90;0,79;0,78;0,81;0,83;0,95
FI;2,02;2,06;2,07;2,00;1,96;1,85;1,89;2,16;2,18;2,17
SE;2,09;2,08;2,02;1,89;1,81;1,79;1,82;2,04;2,03;1,98
UK;1,04;1,03;0,99;1,18;1,08;0,92;0,83;0,80;1,01;1,32
IS;1,25;1,33;1,39;1,45;1,36;1,39;1,49;1,59;1,63;1,43
LI;0,35;0,32;0,34;0,20;0,19;0,17;:;:;:;:
NO;2,08;2,29;2,38;2,26;2,05;2,13;2,05;2,20;2,04;2,12
TR;0,95;0,96;0,87;:;0,91;:;:;:;:;1,54
